instrumentId,instrumentName,instrumentType,country,sector,instrumentCurrency,isTradeable,isDeleted,createdAt,notes
1,Armstrong - Jacobi,Private Equity,US,Consumer Staples,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Consumer Staples; Tradable Instrument
2,Armstrong - Reichert,Private Equity,US,Information Technology,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Information Technology; Tradable Instrument
3,Armstrong Sporer and Nikolaus,Private Equity,US,Healthcare,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Healthcare; Tradable Instrument
4,Auer - Bailey,Private Equity,US,Industrials,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Industrials; Tradable Instrument
5,Bailey - Rosenbaum,Private Equity,US,Information Technology,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Information Technology; Tradable Instrument
6,Bartoletti Group,Private Equity,US,Industrials,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Industrials; Tradable Instrument
7,Barton - Stark,Private Equity,US,Information Technology,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Information Technology; Tradable Instrument
8,Batz - Reichert,Private Equity,US,Information Technology,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Information Technology; Tradable Instrument
9,Batz - Ziemann,Private Equity,US,Information Technology,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Information Technology; Tradable Instrument
10,Batz Schimmel and Kessler,Private Equity,US,Industrials,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Industrials; Tradable Instrument
11,Baumbach Inc,Private Equity,US,Information Technology,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Information Technology; Tradable Instrument
12,Bayer and Sons,Private Equity,US,Energy,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Energy; Tradable Instrument
13,Beahan - Cartwright,Private Equity,US,Consumer Staples,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Consumer Staples; Tradable Instrument
14,Beatty - Boyle,Private Equity,US,Communication Services,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Communication Services; Tradable Instrument
15,Beer Christiansen and Von,Private Equity,US,Financials,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Financials; Tradable Instrument
16,Beier and Sons,Private Equity,US,Industrials,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Industrials; Tradable Instrument
17,Bergnaum Veum and Strosin,Private Equity,US,Healthcare,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Healthcare; Tradable Instrument
18,Blick - Bogisich,Private Equity,US,Energy,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Energy; Tradable Instrument
19,Bode - Cartwright,Private Equity,US,Financials,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Financials; Tradable Instrument
20,Bogan - Deckow,Private Equity,US,Information Technology,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Information Technology; Tradable Instrument
21,Bosco Inc,Private Equity,US,Energy,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Energy; Tradable Instrument
22,Boyer - Ritchie,Private Equity,US,Consumer Staples,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Consumer Staples; Tradable Instrument
23,Boyer Ebert and MacGyver,Private Equity,US,Information Technology,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Information Technology; Tradable Instrument
24,Braun - Effertz,Private Equity,US,Industrials,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Industrials; Tradable Instrument
25,Carroll - Heathcote,Private Equity,US,Communication Services,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Communication Services; Tradable Instrument
26,Carroll Group,Private Equity,US,Energy,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Energy; Tradable Instrument
27,Carter - Terry,Private Equity,US,Communication Services,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Communication Services; Tradable Instrument
28,Cartwright - Larkin,Private Equity,US,Information Technology,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Information Technology; Tradable Instrument
29,Casper Inc,Private Equity,US,Information Technology,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Information Technology; Tradable Instrument
30,Cassin Reichel and Cummings,Private Equity,US,Financials,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Financials; Tradable Instrument
31,Champlin - Sawayn,Private Equity,US,Financials,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Financials; Tradable Instrument
32,Cole - Lueilwitz,Private Equity,US,Healthcare,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Healthcare; Tradable Instrument
33,Connelly Inc,Private Equity,US,Healthcare,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Healthcare; Tradable Instrument
34,Conroy Marvin and Lind,Private Equity,US,Healthcare,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Healthcare; Tradable Instrument
35,Corkery Group,Private Equity,US,Information Technology,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Information Technology; Tradable Instrument
36,Corkery Schoen and Dietrich,Private Equity,US,Communication Services,USD,TRUE,FALSE,1/2/2019 0:00,Private Equity; Communication Services; Tradable Instrument
