marketValueId,instrumentId,marketValue,createdAt
1,152,100000000,31/1/2020 0:00
2,152,100000000,29/2/2020 0:00
3,152,100000000,31/3/2020 0:00
4,152,100000000,30/4/2020 0:00
5,152,100000000,31/5/2020 0:00
6,152,100000000,30/6/2020 0:00
7,152,100000000,31/7/2020 0:00
8,152,100000000,31/8/2020 0:00
9,152,120000000,30/9/2020 0:00
10,152,120000000,31/10/2020 0:00
11,152,120000000,30/11/2020 0:00
12,152,147615415.4,31/12/2020 0:00
13,152,147615415.4,31/1/2021 0:00
14,152,147615415.4,28/2/2021 0:00
15,152,175948309.8,31/3/2021 0:00
16,152,175948309.8,30/4/2021 0:00
17,152,175948309.8,31/5/2021 0:00
18,152,175948309.8,30/6/2021 0:00
19,152,175948309.8,31/7/2021 0:00
20,152,175948309.8,31/8/2021 0:00
21,152,175948309.8,30/9/2021 0:00
22,152,175948309.8,31/10/2021 0:00
23,152,175948309.8,30/11/2021 0:00
24,152,175948309.8,31/12/2021 0:00
25,152,190654650,31/1/2022 0:00
26,152,190654650,28/2/2022 0:00
27,152,175195760.1,31/3/2022 0:00
28,152,175195760.1,30/4/2022 0:00
29,152,175195760.1,31/5/2022 0:00
30,152,175195760.1,30/6/2022 0:00
31,152,175195760.1,31/7/2022 0:00
32,152,158277577.5,31/8/2022 0:00
33,152,158277577.5,30/9/2022 0:00
34,183,59644184,31/1/2020 0:00
35,183,59644184,29/2/2020 0:00
36,183,100006929,31/3/2020 0:00
37,183,124556540,30/4/2020 0:00
38,183,124556540,31/5/2020 0:00
39,183,90459057,30/6/2020 0:00
40,183,90459057,31/7/2020 0:00
41,183,94505735,31/8/2020 0:00
42,183,94505735,30/9/2020 0:00
43,183,94032378,31/10/2020 0:00
44,183,110007122,30/11/2020 0:00
45,183,114473151,31/12/2020 0:00
46,183,114473151,31/1/2021 0:00
47,183,121747644,28/2/2021 0:00
48,183,167577475,31/3/2021 0:00
49,183,136796547,30/4/2021 0:00
50,183,166362030,31/5/2021 0:00
51,183,234454584,30/6/2021 0:00
52,183,234454584,31/7/2021 0:00
53,183,231997245,31/8/2021 0:00
54,183,231997245,30/9/2021 0:00
55,183,231997245,31/10/2021 0:00
56,183,217749819,30/11/2021 0:00
57,183,402509820,31/12/2021 0:00
58,183,402509820,31/1/2022 0:00
59,183,402509820,28/2/2022 0:00
60,183,447052449,31/3/2022 0:00
61,183,447052449,30/4/2022 0:00
62,183,447052449,31/5/2022 0:00
63,183,462569209,30/6/2022 0:00
64,183,462569209,31/7/2022 0:00
65,183,398614095,31/8/2022 0:00
66,183,398614095,30/9/2022 0:00
67,174,45740512,31/1/2020 0:00
68,174,45740512,29/2/2020 0:00
69,174,47065900,31/3/2020 0:00
70,174,47065900,30/4/2020 0:00
71,174,47065900,31/5/2020 0:00
72,174,47065900,30/6/2020 0:00
73,174,47065900,31/7/2020 0:00
74,174,47065900,31/8/2020 0:00
75,174,46409900,30/9/2020 0:00
76,174,46409900,31/10/2020 0:00
77,174,46409900,30/11/2020 0:00
78,174,47941700,31/12/2020 0:00
79,174,47941700,31/1/2021 0:00
80,174,47941700,28/2/2021 0:00
81,174,49139000,31/3/2021 0:00
82,174,49139000,30/4/2021 0:00
83,174,49139000,31/5/2021 0:00
84,174,46193156,30/6/2021 0:00
85,174,46193156,31/7/2021 0:00
86,174,46193156,31/8/2021 0:00
87,174,45476200,30/9/2021 0:00
88,174,45476200,31/10/2021 0:00
89,174,45476200,30/11/2021 0:00
90,174,45861700,31/12/2021 0:00
91,174,45861700,31/1/2022 0:00
92,174,45861700,28/2/2022 0:00
93,174,46639200,31/3/2022 0:00
94,174,46639200,30/4/2022 0:00
95,174,46639200,31/5/2022 0:00
96,174,46639200,30/6/2022 0:00
97,174,46639200,31/7/2022 0:00
98,174,46639200,31/8/2022 0:00
99,174,46639200,30/9/2022 0:00
100,33,900798000,31/1/2020 0:00
101,33,900798000,29/2/2020 0:00
102,33,852975516,31/3/2020 0:00
103,33,852975516,30/4/2020 0:00
104,33,852975516,31/5/2020 0:00
