transactionId,instrumentId,quantity,transactionDate,transactionAmount,transactionType,transactionCurrency,isCancelled,createdAt,modifiedAt
1,1,20.0,2020-09-04,-566120.52,BUY,USD,False,2020-09-04 00:00:00,2020-09-04 00:00:00
2,1,16.0,2020-10-04,-447919.53,BUY,USD,False,2020-10-04 00:00:00,2020-10-04 00:00:00
3,1,30.0,2020-11-17,-1017150.61,BUY,USD,False,2020-11-17 00:00:00,2020-11-17 00:00:00
4,1,22.0,2020-12-12,-615889.36,BUY,USD,False,2020-12-12 00:00:00,2020-12-12 00:00:00
5,1,-21.0,2021-01-09,916848.38,SELL,USD,False,2021-01-09 00:00:00,2021-01-09 00:00:00
6,1,-26.0,2021-01-19,1194267.78,SELL,USD,False,2021-01-19 00:00:00,2021-01-19 00:00:00
7,1,6.0,2021-01-29,-278328.97,BUY,USD,False,2021-01-29 00:00:00,2021-01-29 00:00:00
8,1,8.0,2021-02-03,-1269662.41,BUY,USD,False,2021-02-03 00:00:00,2021-02-03 00:00:00
9,1,30.0,2021-02-07,-4177309.12,BUY,USD,False,2021-02-07 00:00:00,2021-02-07 00:00:00
10,1,-33.0,2021-03-12,5138539.39,SELL,USD,False,2021-03-12 00:00:00,2021-03-12 00:00:00
11,1,-6.0,2021-03-13,826478.36,SELL,USD,False,2021-03-13 00:00:00,2021-03-13 00:00:00
12,1,39.0,2021-04-11,-5822364.3,BUY,USD,False,2021-04-11 00:00:00,2021-04-11 00:00:00
13,1,-60.0,2021-11-17,15380651.23,SELL,USD,False,2021-11-17 00:00:00,2021-11-17 00:00:00
14,1,-6.0,2021-11-26,1365571.84,SELL,USD,False,2021-11-26 00:00:00,2021-11-26 00:00:00
15,1,27.0,2021-11-27,-6339128.22,BUY,USD,False,2021-11-27 00:00:00,2021-11-27 00:00:00
16,1,-23.0,2021-12-01,5399998.11,SELL,USD,False,2021-12-01 00:00:00,2021-12-01 00:00:00
17,1,15.0,2021-12-22,-3665482.3,BUY,USD,False,2021-12-22 00:00:00,2021-12-22 00:00:00
18,1,44.0,2021-12-25,-9803368.35,BUY,USD,False,2021-12-25 00:00:00,2021-12-25 00:00:00
19,1,-24.0,2022-02-09,5826090.44,SELL,USD,False,2022-02-09 00:00:00,2022-02-09 00:00:00
20,1,-18.0,2022-03-05,4411582.9,SELL,USD,False,2022-03-05 00:00:00,2022-03-05 00:00:00
21,1,21.0,2022-03-23,-5342917.07,BUY,USD,False,2022-03-23 00:00:00,2022-03-23 00:00:00
22,1,19.0,2022-04-23,-6879721.38,BUY,USD,False,2022-04-23 00:00:00,2022-04-23 00:00:00
23,1,-17.0,2022-05-23,7015992.03,SELL,USD,False,2022-05-23 00:00:00,2022-05-23 00:00:00
